category,name,price,meal__info,meal__choose,attribute,sidedishes_list,dropdown,dropdown2
Beliebte Gerichte,Wunsch-Pizza,"22,50 CHF",mit 6 Zutaten nach Wahl,"Wahl aus: mit Ananas, mit Artischocken, mit Auberginen, grilliert, mit Basilikum, mit Broccoli und mehr.",,[],"mit Ananas, mit Artischocken, mit Auberginen, grilliert, mit Basilikum, mit Broccoli, mit Champignons, mit Cherrytomaten, mit Ei, mit Gemüse, mit Gorgonzola, mit Kalbfleisch, mit Kapern, mit Knoblauch, mit Mascarpone, mit Meeresfrüchten, mit Oliven, mit Parmesan, mit Peperoncini, mit Peperoni, mit Pestosauce, mit Pouletgeschnetzeltem, mariniert, mit Rohschinken, mit Rucola, mit Salami, mit Salami, scharf, mit Sardellen, mit Schafskäse, mit Schinken, mit Speck, mit Spinat, mit Steinpilzen, mit Thunfisch, mit Tomaten, mit Vorderschinken, mit Zucchetti, mit Zwiebeln",
Beliebte Gerichte,Pizza Prosciutto Funghi,"18,00 CHF",mit Hinterschinken und Champignons,,,[],,
Beliebte Gerichte,Tiramisu,"7,50 CHF",mit Hinterschinken und Champignons,,,[],,
Mittagsmeü,Mittagsmenü Pizza,"25,00 CHF","• 1 Pizza (Ø 32cm) nach Wahl
• 1 Getränk 0,45l nach Wahl
• 1 grüner Salat mit einem Dressing nach Wahl","Wahl aus: Calzone Kebab, Calzone Spezial, Pizza Bauer, Pizza Bella, Pizza Bolzano, Pizza Buttafucco (scharf) und mehr.",,"[{'Calzone Kebab\nCalzone Spezial\nPizza Bauer\nPizza Bella\nPizza Bolzano\nPizza Buttafucco (scharf)\nPizza Calabrese (scharf)\nPizza Calzone\nPizza Campagnola\nPizza Capricciosa\nPizza Crudo Gorgonzola\nPizza Crudo Porcini\nPizza Fantastica (scharf)\nPizza Farmer\nPizza Fiorentina\nPizza Frutti di Mare\nPizza Funghi\nPizza Funghi Porcini\nPizza Gamberetti\nPizza Gorgonzola\nPizza Hawaii\nPizza Hirten\nPizza Italia\nPizza Kebab\nPizza Madras\nPizza Mafiose\nPizza Mamma Mia\nPizza Margherita\nPizza Napoletana\nPizza Oase\nPizza Padrone (scharf)\nPizza Paganese (scharf)\nPizza Prosciutto\nPizza Prosciutto Funghi\nPizza Quattro Stagioni\nPizza Raclette\nPizza Romagna Hauspizza\nPizza Rucola\nPizza Salami\nPizza Siciliana\nPizza Spinaci\nPizza Tirolese (scharf)\nPizza Tonno\nPizza Vegetariana (vegetarisch)\nPizza Vitellone\nPizza Züri (scharf)\nQuattro Formaggi\nohne Pizza '}, {' '}, {'Coca Cola 0,33l\nCoca Cola zero 0,33l\nEistee 0,33l\nFanta 0,33l\nohne Getränk\nCoca Cola 0,33l\nEnthält Koffein (10,0 mg/100 ml), 0,45l '}, {'Coca Cola 0,33l\nEnthält Koffein (10,0 mg/100 ml), 0,45l '}]","Calzone Kebab, Calzone Spezial, Pizza Bauer, Pizza Bella, Pizza Bolzano, Pizza Buttafucco (scharf), Pizza Calabrese (scharf), Pizza Calzone, Pizza Campagnola, Pizza Capricciosa, Pizza Crudo Gorgonzola, Pizza Crudo Porcini, Pizza Fantastica (scharf), Pizza Farmer, Pizza Fiorentina, Pizza Frutti di Mare, Pizza Funghi, Pizza Funghi Porcini, Pizza Gamberetti, Pizza Gorgonzola, Pizza Hawaii, Pizza Hirten, Pizza Italia, Pizza Kebab, Pizza Madras, Pizza Mafiose, Pizza Mamma Mia, Pizza Margherita, Pizza Napoletana, Pizza Oase, Pizza Padrone (scharf), Pizza Paganese (scharf), Pizza Prosciutto, Pizza Prosciutto Funghi, Pizza Quattro Stagioni, Pizza Raclette, Pizza Romagna Hauspizza, Pizza Rucola, Pizza Salami, Pizza Siciliana, Pizza Spinaci, Pizza Tirolese (scharf), Pizza Tonno, Pizza Vegetariana (vegetarisch), Pizza Vitellone, Pizza Züri (scharf), Quattro Formaggi, ohne Pizza",
Mittagsmeü,Mittagsmenü Pasta,"25,00 CHF","• 1 Pastagericht und Nudelsorte nach Wahl
• 1 Getränk 0,45l nach Wahl
• 1 grüner Salat mit einem Dressing nach Wahl","Wahl aus: Lasagne Verdi, Pasta Aglio (scharf), Pasta al Tonno, Pasta alla Panna, Pasta Arche Noah und mehr.",,"[{'Coca Cola 0,33l\nCoca Cola zero 0,33l\nEistee 0,33l\nFanta 0,33l\nohne Getränk\nCoca Cola 0,33l\nEnthält Koffein (10,0 mg/100 ml), 0,45l '}, {'Coca Cola 0,33l\nEnthält Koffein (10,0 mg/100 ml), 0,45l '}]","Lasagne Verdi, Pasta Aglio (scharf), Pasta al Tonno, Pasta alla Panna, Pasta Arche Noah, Pasta Arrabiata, Pasta Bolognese, Pasta Carbonara, Pasta con Pollo, Pasta Frutti di Mare, Pasta Gorgonzola, Pasta Napoli, Pasta Pesto, Pasta Romagna, Pasta Toscana, Pasta Zucchini, Penne al Forno, Ravioli mit Fleischfüllung, Ravioli mit Ricotta und Spinatfüllung, Tortellini, Tortellini al Forno, ohne Pastagericht",
Spezialmenü,Pizza Menü Ø 32cm,"28,00 CHF","• 1 Pizza (Ø 32cm) nach Wahl
• 1 grünen Salat mit Dressing nach Wahl
• 1 Getränk 0,33l nach Wahl
• 1 Dessert nach Wahl","Wahl aus: Pizza Bauer, Pizza Bella, Pizza Bolzano, Pizza Buttafucco (scharf), Pizza Calabrese (scharf) und mehr.",,"[{'Pizza Bauer\nPizza Bella\nPizza Bolzano\nPizza Buttafucco (scharf)\nPizza Calabrese (scharf)\nPizza Campagnola\nPizza Capricciosa\nPizza Crudo Gorgonzola\nPizza Crudo Porcini\nPizza Fantastica (scharf)\nPizza Farmer\nPizza Fiorentina\nPizza Frutti di Mare\nPizza Funghi\nPizza Funghi Porcini\nPizza Gamberetti\nPizza Gorgonzola\nPizza Hawaii\nPizza Hirten\nPizza Italia\nPizza Kebab\nPizza Madras\nPizza Mafiose\nPizza Mamma Mia\nPizza Margherita\nPizza Napoletana\nPizza Oase\nPizza Padrone (scharf)\nPizza Paganese (scharf)\nPizza Prosciutto\nPizza Prosciutto Funghi\nPizza Quattro Stagioni\nPizza Raclette\nPizza Romagna Hauspizza\nPizza Rucola\nPizza Salami\nPizza Salmone\nPizza Siciliana\nPizza Spinaci\nPizza Tirolese (scharf)\nPizza Tonno\nPizza Vegetariana (vegetarisch)\nPizza Vitellone\nPizza Züri (scharf)\nQuattro Formaggi\nohne Pizza\nPizza Bauer '}, {'Pizza Bauer '}, {'Coca Cola 0,33l\nCoca Cola zero 0,33l\nEistee 0,33l\nFanta 0,33l\nohne Getränk\nCoca Cola 0,33l\nEnthält Koffein (10,0 mg/100 ml), 0,45l '}, {'Coca Cola 0,33l\nEnthält Koffein (10,0 mg/100 ml), 0,45l '}]","Pizza Bauer, Pizza Bella, Pizza Bolzano, Pizza Buttafucco (scharf), Pizza Calabrese (scharf), Pizza Campagnola, Pizza Capricciosa, Pizza Crudo Gorgonzola, Pizza Crudo Porcini, Pizza Fantastica (scharf), Pizza Farmer, Pizza Fiorentina, Pizza Frutti di Mare, Pizza Funghi, Pizza Funghi Porcini, Pizza Gamberetti, Pizza Gorgonzola, Pizza Hawaii, Pizza Hirten, Pizza Italia, Pizza Kebab, Pizza Madras, Pizza Mafiose, Pizza Mamma Mia, Pizza Margherita, Pizza Napoletana, Pizza Oase, Pizza Padrone (scharf), Pizza Paganese (scharf), Pizza Prosciutto, Pizza Prosciutto Funghi, Pizza Quattro Stagioni, Pizza Raclette, Pizza Romagna Hauspizza, Pizza Rucola, Pizza Salami, Pizza Salmone, Pizza Siciliana, Pizza Spinaci, Pizza Tirolese (scharf), Pizza Tonno, Pizza Vegetariana (vegetarisch), Pizza Vitellone, Pizza Züri (scharf), Quattro Formaggi, ohne Pizza",
Spezialmenü,Pizza Menü Ø 45cm,"48,00 CHF","• 1 Pizza (Ø 45cm) nach Wahl
• 1 grünen Salat mit Dressing nach Wahl
• 1 Getränk 0,33l nach Wahl
• 1 Dessert nach Wahl","Wahl aus: Pizza Bauer, Pizza Bella, Pizza Bolzano, Pizza Buttafucco (scharf), Pizza Calabrese (scharf) und mehr.",,[],,
Salate,Grüner Salat,"6,00 CHF","• 1 Pizza (Ø 45cm) nach Wahl
• 1 grünen Salat mit Dressing nach Wahl
• 1 Getränk 0,33l nach Wahl
• 1 Dessert nach Wahl","Wahl aus: mit French-Dressing, mit Italian-Dressing oder ohne Dressing.",,[],"mit French-Dressing, mit Italian-Dressing, ohne Dressing",
Salate,Gemischter Salat,"7,00 CHF","• 1 Pizza (Ø 45cm) nach Wahl
• 1 grünen Salat mit Dressing nach Wahl
• 1 Getränk 0,33l nach Wahl
• 1 Dessert nach Wahl","Wahl aus: mit French-Dressing, mit Italian-Dressing oder ohne Dressing.",,[],"mit French-Dressing, mit Italian-Dressing, ohne Dressing",
Salate,Nüsslisalat,"9,00 CHF",mit Ei und Speck,"Wahl aus: mit French-Dressing, mit Italian-Dressing oder ohne Dressing.",,[],"mit French-Dressing, mit Italian-Dressing, ohne Dressing",
